model,accuracy,macro_f1
Random,0.1536926147704591,0.08679829432396644
Majority,0.6696606786427146,0.11459311758176073
LogisticRegression,0.4301397205588822,0.20108831996821672
BaselineCNN,0.5209580838323353,0.34888736724443054
